OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),x,y
1,Common Yellowthroat,2,No,Vegetation - Shrub,,,,,"Darwin R, Max L",,,,,,,,,,,,,,,,b4f816f9-475d-49b1-9218-440be91d5e0a,,,,,,,,,,,,,,,,2/28/2023 3:44:08 PM,ccber_user,2/28/2023 3:47:32 PM,ccber_user,,,,,,,,-119.875087836876,34.4176194507834
2,Song Sparrow,2,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,24feb7bd-332a-4f99-b782-86e3078a955c,,,,,,,,,,,,,,,,2/28/2023 3:44:32 PM,ccber_user,2/28/2023 3:47:42 PM,ccber_user,,,,,,,,-119.874897086812,34.4175819118443
3,Anna's Hummingbird,1,No,,,,,,,,,,,,,,,,,,,,,,197fe3d6-ec6e-4f95-b9db-a3a30b318db1,,,,,,,,,,,,,,,,2/28/2023 3:44:49 PM,ccber_user,2/28/2023 3:44:49 PM,ccber_user,,,,,,,,-119.875311738368,34.417577934595
4,Ring-billed Gull,1,No,Flyover,,,,,,,,,,,,,,,,,,,,,89403c59-4698-4692-ac16-b79f520fe10c,,,,,,,,,,,,,,,,2/28/2023 3:45:45 PM,ccber_user,2/28/2023 3:45:45 PM,ccber_user,,,,,,,,-119.874545115206,34.418260068235
5,Brewer's Blackbird,1,No,Flyover,,,,,,,,,,,,,,,,,,,,,85548fde-dd1c-4e79-8ec8-914b4c52798e,,,,,,,,,,,,,,,,2/28/2023 3:45:58 PM,ccber_user,2/28/2023 3:45:58 PM,ccber_user,,,,,,,,-119.875350310229,34.4178822102879
6,Yellow-rumped Warbler,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,529388a3-e6a1-4d45-8901-bc13a9bb4e41,,,,,,,,,,,,,,,,2/28/2023 3:46:38 PM,ccber_user,2/28/2023 3:46:38 PM,ccber_user,,,,,,,,-119.875393704247,34.4175600358596
7,House Finch,3,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,ba24037c-fabf-4abf-aa50-4071b7c8126a,,,,,,,,,,,,,,,,2/28/2023 3:47:04 PM,ccber_user,2/28/2023 3:47:04 PM,ccber_user,,,,,,,,-119.875682995905,34.4175481033672
8,Cooper's Hawk,1,No,Other,,,telephone line,,,,,,,,,,,,,,,,,,e4d496e7-ed0b-42c4-8421-eddc83c2a443,,,,,,,,,,,,,,,,2/28/2023 3:48:56 PM,ccber_user,2/28/2023 3:50:45 PM,ccber_user,,,,,,,,-119.876480958592,34.4178793431513
9,Blue-gray Gnatcatcher,2,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,b309a2f1-f2cc-42f3-8a7c-61affd2eb256,,,,,,,,,,,,,,,,2/28/2023 3:49:55 PM,ccber_user,2/28/2023 3:51:20 PM,ccber_user,,,,,,,,-119.876331491505,34.4177509547656
10,House Finch,15,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,e76391b5-90ba-4783-ab7c-c7a6d5772f37,,,,,,,,,,,,,,,,2/28/2023 3:50:06 PM,ccber_user,2/28/2023 3:51:50 PM,ccber_user,,,,,,,,-119.876514710094,34.4176674274736
11,Purple Finch,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,31e0f3e0-9224-4435-acf7-5e773d4d4f12,,,,,Samsung SM-T713,3.29,3.29,34.4175896833333,-119.87601165,-32.4,0.9,0.7,0.7,1,,2/28/2023 3:50:25 PM,ccber_user,2/28/2023 3:50:25 PM,ccber_user,,16,2/28/2023 3:50:11 PM,,,,,-119.876011649941,34.4175896833012
12,Lesser Goldfinch,4,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,ded6321c-fe65-48f4-8214-5c81e75ee95c,,,,,,,,,,,,,,,,2/28/2023 3:50:39 PM,ccber_user,2/28/2023 3:51:34 PM,ccber_user,,,,,,,,-119.876552841781,34.4177679745693
13,Anna's Hummingbird,1,No,,,,,,,,,,,,,,,,,,,,,,71c8e6b1-51cd-406d-84e7-bb9e4aa09a33,,,,,,,,,,,,,,,,2/28/2023 3:52:46 PM,ccber_user,2/28/2023 3:52:46 PM,ccber_user,,,,,,,,-119.876764988817,34.4178355913319
14,Cinnamon Teal,1,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,0ace1548-1f24-407a-b7a7-7ac0f4502608,,,,,,,,,,,,,,,,2/28/2023 3:54:10 PM,ccber_user,2/28/2023 3:54:10 PM,ccber_user,,,,,,,,-119.876928920576,34.4179907123261
15,Mallard,2,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,16c6bb73-f71a-40e4-8c7f-08002c144d22,,,,,,,,,,,,,,,,2/28/2023 3:54:21 PM,ccber_user,2/28/2023 3:54:21 PM,ccber_user,,,,,,,,-119.877006065198,34.4178117264241
16,Yellow-rumped Warbler,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,c103f62c-25fb-44e8-bb86-a93096eb17c5,,,,,,,,,,,,,,,,2/28/2023 3:54:41 PM,ccber_user,2/28/2023 3:54:41 PM,ccber_user,,,,,,,,-119.876263549225,34.4178276361164
17,Downy Woodpecker,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,73e9c3a2-5b7b-4a8d-aab8-597c55269139,,,,,,,,,,,,,,,,2/28/2023 3:54:52 PM,ccber_user,2/28/2023 3:54:52 PM,ccber_user,,,,,,,,-119.876224977363,34.4176088759142
18,American Crow,1,No,Flyover,,,,,,,,,,,,,,,,,,,,,eeedbcda-6f03-42e0-8934-40a0297c2a98,,,,,,,,,,,,,,,,2/28/2023 3:55:37 PM,ccber_user,2/28/2023 3:55:37 PM,ccber_user,,,,,,,,-119.876567305555,34.4179230956889
19,Killdeer,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,40f90c9a-70e4-4b97-9e2f-45fc77d8afbd,,,,,,,,,,,,,,,,2/28/2023 3:56:41 PM,ccber_user,2/28/2023 3:56:41 PM,ccber_user,,,,,,,,-119.876966518664,34.4180862280324
20,Bewick's Wren,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,b261f833-c6a2-4983-a7b9-dc5a314fa435,,,,,,,,,,,,,,,,2/28/2023 3:56:54 PM,ccber_user,2/28/2023 3:56:54 PM,ccber_user,,,,,,,,-119.876644355854,34.4176048438281
21,White-crowned Sparrow,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,8ffb19ff-8495-4c02-8491-24f1348b4064,,,,,,,,,,,,,,,,2/28/2023 4:00:10 PM,ccber_user,2/28/2023 4:00:10 PM,ccber_user,,,,,,,,-119.876452774848,34.4185647942259
22,Common Yellowthroat,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,e2175099-d9de-438c-bd1c-5e9a387b7aff,,,,,,,,,,,,,,,,2/28/2023 4:00:29 PM,ccber_user,2/28/2023 4:00:29 PM,ccber_user,,,,,,,,-119.876623705382,34.4185316167779
23,Rock Pigeon (Feral Pigeon),11,No,Flyover,,,,,,,,,,,,,,,,,,,,,bc089f63-ce06-49c1-aa3a-5e0f464a6315,,,,,,,,,,,,,,,,2/28/2023 4:01:47 PM,ccber_user,2/28/2023 4:01:47 PM,ccber_user,,,,,,,,-119.878865920094,34.4184579417655
24,Canada Goose,7,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,1bb8c1c7-8ba2-498e-8a37-2bb6ebc211f8,,,,,,,,,,,,,,,,2/28/2023 4:07:42 PM,ccber_user,2/28/2023 4:07:42 PM,ccber_user,,,,,,,,-119.879532048725,34.4190592901107
25,American Wigeon,6,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,7d3c13b6-c077-422b-b9eb-21ae221561f5,,,,,,,,,,,,,,,,2/28/2023 4:08:03 PM,ccber_user,2/28/2023 4:20:24 PM,ccber_user,,,,,,,,-119.879255541891,34.4192044425628
26,Killdeer,7,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,bff2b39b-437a-4aa0-bfa6-1a1a7f9cadd0,,,,,,,,,,,,,,,,2/28/2023 4:08:31 PM,ccber_user,2/28/2023 4:08:31 PM,ccber_user,,,,,,,,-119.879139912544,34.4189618302753
27,Black Phoebe,1,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,a105bfb0-8c9a-46a0-8096-74cbff487c6d,,,,,,,,,,,,,,,,2/28/2023 4:09:32 PM,ccber_user,2/28/2023 4:09:32 PM,ccber_user,,,,,,,,-119.880629409117,34.4184558675707
28,Savannah Sparrow,7,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,b295b1c9-ea0d-4328-a5ec-77c6d03fd584,,,,,Samsung SM-T713,3.29,3.29,34.4189495666667,-119.88031205,-21.3,1,0.7,0.7,1,,2/28/2023 4:12:44 PM,ccber_user,2/28/2023 4:14:00 PM,ccber_user,,15,2/28/2023 4:11:41 PM,,,,,-119.880312049598,34.4189495667362
29,Greater Yellowlegs,2,No,Water - Wading,,,,,,,,,,,,,,,,,,,,,de5486d3-15e0-400f-9944-967730f9e666,,,,,,,,,,,,,,,,2/28/2023 4:13:06 PM,ccber_user,2/28/2023 4:13:06 PM,ccber_user,,,,,,,,-119.881227665536,34.4192645751284
30,House Finch,6,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,1615c667-9df3-4cc1-9665-761f342daefd,,,,,,,,,,,,,,,,2/28/2023 4:14:19 PM,ccber_user,2/28/2023 4:14:19 PM,ccber_user,,,,,,,,-119.881720349249,34.4189535342866
31,White-crowned Sparrow,2,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,8afc08ea-2bd3-4102-851d-dbec489da826,,,,,,,,,,,,,,,,2/28/2023 4:17:44 PM,ccber_user,2/28/2023 4:17:44 PM,ccber_user,,,,,,,,-119.880116613023,34.4199778918504
32,Yellow-rumped Warbler,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,79b451ea-3149-492e-975f-f52e183b2a6c,,,,,Samsung SM-T713,3.29,3.29,34.41969595,-119.879950933333,-19.5,1,0.7,0.7,1,,2/28/2023 4:18:43 PM,ccber_user,2/28/2023 4:18:43 PM,ccber_user,,15,2/28/2023 4:18:12 PM,,,,,-119.879950933142,34.4196959497658
33,House Finch,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,419e1a61-68b5-40a6-bfc3-902def13350e,,,,,Samsung SM-T713,3.29,3.76,34.41967325,-119.879898883333,-19,1,0.7,0.8,1,,2/28/2023 4:19:46 PM,ccber_user,2/28/2023 4:19:46 PM,ccber_user,,15,2/28/2023 4:19:24 PM,,,,,-119.879898882958,34.4196732503002
34,Anna's Hummingbird,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,a98d77d5-904f-439d-9390-67d315889c13,,,,,,,,,,,,,,,,2/28/2023 4:23:38 PM,ccber_user,2/28/2023 4:23:38 PM,ccber_user,,,,,,,,-119.877773820237,34.4194444983002
