American Coot,,,15,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
American Crow,,,11,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
American Kestrel,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
American Pipit,,,23,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
American Wigeon,,,4,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Anna's Hummingbird,,,11,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Belted Kingfisher,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Bewick's Wren,,,5,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Black Phoebe,,,3,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Blue-gray Gnatcatcher,,,4,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Bushtit,,,11,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Cackling Goose,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
California Gull,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
California Scrub-Jay,,,2,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
California Towhee,,,8,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Canada Goose,,,52,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Common Yellowthroat,,,9,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Dark-eyed Junco,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Double-crested Cormorant,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Eurasian Collared-Dove,,,2,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Gadwall,,,17,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Great Blue Heron,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Great Egret,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Greater Yellowlegs,,,3,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Hairy Woodpecker,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
House Finch,,,17,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
House Sparrow,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
House Wren,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Killdeer,,,35,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Least Sandpiper,,,14,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Long-billed Curlew,,,3,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Mallard,,,12,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Mew Gull,,,160,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Mourning Dove,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Northern Harrier,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Northern Shoveler,,,28,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Nuttall's Woodpecker,,,1,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Oak Titmouse,,,3,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Orange-crowned Warbler,,,3,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Pied-billed Grebe,,,2,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Red-shouldered Hawk,,,3,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Red-tailed Hawk,,,2,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Red-winged Blackbird,,,18,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Ruby-crowned Kinglet,,,2,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Ruddy Duck,,,2,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Savannah Sparrow,,,2,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
Say's Phoebe,,,4,,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.42,-119.877,1/22/2026,7:50,CA,US,area,7,115,Y,3.2,105
